Ticker,Sector,Target Allocation (%),Master Grade,Conviction Score (0-100),S.A.F.E. Score (1-10),Final Rating,MC DCF Model,Live WACC (%),Beta (3-Yr),Sharpe Ratio,Sortino Ratio,1-Yr Alpha vs RSP (%),3-Yr Alpha vs RSP (%),Profitable (TTM),Price vs 200-SMA,P1: Growth,P2: Profit/Eff,P3: Cash Flow,P4: Health,P5: Value/Yield,Rev Growth (%),Gross Margin (%),Operating Margin (%),ROA (%),ROE (%),ROIC (%),Passes Dual-Hurdle,ROIC-WACC Spread (%),EVA ($B),Asset Turnover,FCF Margin (%),FCF Yield (%),Accrual Quality,Current Ratio,Debt/Equity,Net Debt/EBITDA,P/E Ratio,PEG Ratio,EV/EBITDA,Div Yield (%),Crisis Value ($),Backtest Win Rate (%),Max Drawdown (%),NLP Sentiment (-1 to 1)
TSM,Technology,8.0%,A+ (High Conviction Buy),96.3,8.84,Elite / Top-Tier,Mean: $11415.19 (100% Win),8.08,1.26,1.45,2.22,49.66,361.39,Yes,15.2%,10.0,8.0,10.0,10.0,8.5,36.0,57.31,50.83,21.4,31.7,25.16,✅ Pass,17.08,1091.07,0.44,26.05,44.02,-24.34,2.51,0.2,0.0,32.46,0.83,4.93,94.0,2995.73,88.0,-56.47,0.27
NVDA,Technology,8.0%,B (Hold),62.2,7.95,Strong Buy,Mean: $144.15 (0% Win),11.26,1.21,1.3,1.93,12.56,360.55,Yes,12.2%,10.0,9.3,6.0,10.0,6.5,105.9,72.57,60.38,58.06,76.33,66.77,✅ Pass,55.51,92.01,1.06,44.77,1.8,21.72,3.91,0.07,0.0,28.1,0.47,26.5,45.0,70.02,78.0,-66.34,0.4
MU,Technology,0.0% (Skip),C (Avoid/Sell),59.6,7.39,Buy,Mean: $424.16 (0% Win),13.55,1.87,1.64,2.52,488.56,1300.92,Yes,58.7%,10.0,4.9,6.0,10.0,8.0,345.7,24.44,26.24,10.31,15.76,13.2,✅ Pass (Growth Waiver),-0.36,-0.23,0.36,4.46,0.15,-33.41,2.52,0.28,0.08,22.94,0.15,16.53,5.0,1588.44,69.0,-57.63,0.4
AMAT,Technology,0.0% (Skip),C (Avoid/Sell),59.5,8.19,Strong Buy,Mean: $196.31 (0% Win),12.54,1.61,0.96,1.34,121.72,178.78,Yes,7.0%,10.0,8.4,8.7,10.0,6.0,24.8,47.63,29.86,19.28,34.28,23.71,✅ Pass,11.17,3.01,0.81,20.09,1.62,-12.73,2.61,0.35,0.0,38.33,0.88,34.56,48.0,61.95,58.0,-55.14,0.44
AVGO,Technology,0.0% (Skip),C (Avoid/Sell),59.4,7.81,Strong Buy,Mean: $165.09 (0% Win),11.48,1.35,1.14,1.71,-9.55,284.88,Yes,-2.9%,10.0,6.4,8.7,10.0,6.0,85.5,66.43,40.81,13.52,28.45,13.25,✅ Pass,1.77,2.6,0.37,42.13,1.58,-16.27,1.71,0.8,0.94,45.67,0.35,33.34,73.0,130.28,87.0,-41.15,0.36
AMD,Technology,0.0% (Skip),C (Avoid/Sell),57.9,6.84,Buy,Mean: $94.97 (0% Win),13.16,1.73,1.18,1.92,240.64,399.25,Yes,57.9%,10.0,4.0,8.0,10.0,4.0,50.1,48.54,10.66,5.55,6.78,4.41,✅ Pass (Growth Waiver),-8.76,-5.8,0.39,19.44,0.74,-7.92,2.85,0.06,0.0,142.81,0.57,94.65,0.0,64.25,65.0,-65.45,0.58
ASML,Technology,0.0% (Skip),C (Avoid/Sell),54.2,7.68,Strong Buy,Mean: $728.58 (0% Win),12.03,1.43,0.93,1.3,68.4,138.34,Yes,11.5%,10.0,7.8,8.7,8.0,6.0,21.3,51.86,34.6,19.0,49.0,38.75,✅ Pass,26.72,6.41,0.64,33.76,1.71,-9.16,1.26,0.22,0.0,57.81,1.52,2657.25,54.0,236.48,65.0,-56.47,0.22
TXN,Technology,0.0% (Skip),C (Avoid/Sell),53.8,7.73,Strong Buy,Mean: $115.65 (0% Win),11.69,1.45,0.57,0.85,36.75,26.39,Yes,10.1%,10.0,7.3,7.3,10.0,6.0,22.8,59.39,34.72,14.46,30.73,17.74,✅ Pass,6.05,1.83,0.5,14.72,1.07,-10.49,4.35,0.86,1.14,40.46,0.95,26.32,228.0,15.49,52.0,-33.41,0.49
QCOM,Technology,0.0% (Skip),C (Avoid/Sell),44.7,6.84,Buy,Mean: $77.87 (0% Win),11.96,1.58,0.52,0.7,-5.96,19.34,Yes,6.4%,0.0,8.0,10.0,10.0,8.0,-4.0,55.77,27.99,11.05,26.13,27.19,✅ Pass,15.22,5.48,0.76,28.95,6.75,-27.87,2.82,0.7,0.77,20.33,0.79,16.14,207.0,62.18,44.0,-44.29,0.18
INTC,Technology,0.0% (Skip),C (Avoid/Sell),39.1,4.81,Hold weak / Watch,Mean: $19.45 (0% Win),12.39,1.75,0.82,1.27,241.39,152.14,No,40.8%,5.0,2.7,4.7,9.5,3.5,25.4,35.85,-0.04,-0.13,-0.23,-0.01,✅ Pass (Growth Waiver),-12.4,-19.95,0.27,-9.36,-0.86,-23.42,2.02,0.41,1.92,,1.36,34.69,0.0,-12.63,54.0,-65.04,0.31
